date,equity,cash,unsettled,n_positions,daily_ret,pnl,gross_long,gross_short,turnover,skipped_unsettled
2019-03-29,100000.0,2452.8736534118652,0.0,5,0.0,0.0,97547.12634658813,0,97547.12634658813,0.0
2019-04-01,100752.9913597107,3078.932674407959,0.0,5,0.007529913597106974,752.9913597106934,97674.05868530273,0,83104.62617492676,0.0
2019-04-02,102310.55582046509,245.62294387817383,0.0,5,0.015459237882015309,1557.5644607543945,102064.93287658691,0,160663.05892181396,0.0
2019-04-03,102610.91427993774,2981.9930839538574,0.0,5,0.002935752396846736,300.35845947265625,99628.92119598389,0,161513.8148880005,0.0
2019-04-08,103920.2562828064,201.56900787353516,0.0,5,0.012760260563477344,1309.3420028686523,103718.68727493286,0,123307.78332901001,0.0
2019-04-09,104461.21563720703,195.7565689086914,0.0,5,0.005205523675080981,540.9593544006348,104265.45906829834,0,126164.7022857666,0.0
2019-04-10,104766.4829864502,2499.8485774993896,0.0,5,0.002922303243180213,305.26734924316406,102266.6344089508,0,82463.78889656067,0.0
2019-04-11,103722.10131645203,605.7468929290771,0.0,5,-0.009968662116234706,-1044.381669998169,103116.35442352295,0,121823.17846679688,0.0
2019-04-12,102652.77257347107,286.332311630249,0.0,5,-0.01030955533496647,-1069.328742980957,102366.44026184082,0,83129.81289672852,0.0
2019-04-15,103574.33529472351,227.83826637268066,0.0,5,0.008977475212302188,921.5627212524414,103346.49702835083,0,125287.16231918335,0.0
2019-04-16,104598.23309516907,156.7101535797119,0.0,5,0.00988563235797768,1023.8978004455566,104441.52294158936,0,126395.46133422852,0.0
2019-04-17,104787.10044670105,3329.324941635132,0.0,5,0.001805645716406623,188.86735153198242,101457.77550506592,0,164722.31776046753,0.0
2019-04-18,105295.85499382019,278.5427074432373,0.0,5,0.004855125725879983,508.7545471191406,105017.31228637695,0,165783.455619812,0.0
2019-04-19,106156.9651851654,228.39959907531738,0.0,5,0.008178006545421557,861.1101913452148,105928.56558609009,0,169346.49339675903,0.0
2019-04-22,106960.45617485046,35.017723083496094,0.0,5,0.0075688956281254605,803.4909896850586,106925.43845176697,0,171197.0003604889,0.0
2019-04-23,106736.23330688477,58.26313400268555,0.0,5,-0.0020963155542189638,-224.22286796569824,106677.97017288208,0,130163.53269577026,0.0
2019-04-24,108661.33624649048,412.20246505737305,0.0,5,0.018036077159203412,1925.102939605713,108249.1337814331,0,174453.87718200684,0.0
2019-04-25,109194.28665161133,174.87797927856445,0.0,5,0.0049046921704689606,532.9504051208496,109019.40867233276,0,174510.79431152344,0.0
2019-04-26,107964.06851768494,222.83958625793457,0.0,5,-0.011266323281651669,-1230.2181339263916,107741.228931427,0,174076.72247505188,0.0
