fold,test_start,test_end,n_train,n_test,test_r2
0,2019-03-29,2020-04-14,70032,12096,0.0005106989934610118
1,2020-04-15,2021-04-27,82128,12177,-0.0008521373135803589
2,2021-04-28,2022-05-09,94305,12348,0.0010741519065531335
3,2022-05-10,2023-05-22,106653,12333,0.0006012110799265002
4,2023-05-23,2024-06-03,118986,12348,-0.0017576676473889385
5,2024-06-04,2025-06-19,131334,12348,-0.0010002305275833567
6,2025-06-20,2026-07-03,143682,12333,-0.0018833654281704693
7,2026-07-06,2026-09-14,156015,2499,-0.0048426334929065895
