ticker,shares,entry_price,current_price,market_value,unrealized_pnl,unrealized_pct,stop_loss_price,days_held,time_stop_left,decision
2615.TW,203,110.5,112.0,22736.0,304.5,0.013574660633484115,101.66000000000001,1,9,HOLD (rotate when basket changes)
1303.TW,92,186.92823934534408,234.5,21574.0,4376.6019802283445,0.25449210253764054,171.97398019771657,52,0,TIME-STOP → SELL tomorrow
3037.TW,22,988.7565217391303,977.0,21494.0,-258.64347826086737,-0.011890209046056865,909.656,23,0,TIME-STOP → SELL tomorrow
3665.TW,11,1930.0,1875.0,20625.0,-605.0,-0.02849740932642486,1775.6000000000001,1,9,HOLD (rotate when basket changes)
3008.TW,3,6413.333333333333,6660.0,19980.0,740.0000000000009,0.03846153846153855,5900.266666666666,12,0,TIME-STOP → SELL tomorrow
