date,ticker,action,shares,price,notional,cost
2019-04-08,3034.TW,BUY,178,116.56704711914062,20748.93438720703,0.0
2019-04-08,3665.TW,BUY,122,170.32711791992188,20779.90838623047,0.0
2019-04-08,9910.TW,BUY,3,117.14384460449219,351.43153381347656,0.0
2019-04-09,3231.TW,BUY,1200,17.404752731323242,20885.70327758789,0.0
2019-04-09,9910.TW,BUY,3,116.0387191772461,348.1161575317383,0.0
2019-04-09,3037.TW,BUY,667,31.30362892150879,20879.520490646362,0.0
2019-04-09,6415.TW,BUY,181,115.18883514404297,20849.179161071777,0.0
2019-04-09,3665.TW,SELL,122,171.12490844726562,20877.238830566406,0.0
2019-04-09,2327.TW,SELL,352,59.926517486572266,21094.134155273438,0.0
2019-04-09,3019.TW,BUY,2,77.15467071533203,154.30934143066406,0.0
2019-04-09,3034.TW,SELL,178,118.68094635009766,21125.208450317383,0.0
2019-04-10,3037.TW,BUY,9,31.00221824645996,279.01996421813965,0.0
2019-04-10,3019.TW,BUY,1,77.31523895263672,77.31523895263672,0.0
2019-04-10,3008.TW,BUY,5,3745.757568359375,18728.787841796875,0.0
2019-04-10,6415.TW,BUY,2,114.12007904052734,228.2401580810547,0.0
2019-04-10,9910.TW,SELL,180,118.52527618408203,21334.549713134766,0.0
2019-04-10,3231.TW,SELL,1200,17.579496383666992,21095.39566040039,0.0
2019-04-10,2327.TW,BUY,350,59.74491500854492,20910.720252990723,0.0
2019-04-11,3008.TW,SELL,5,3682.935791015625,18414.678955078125,0.0
2019-04-11,3037.TW,SELL,676,31.217510223388672,21103.036911010742,0.0
2019-04-11,2049.TW,BUY,91,227.18072509765625,20673.44598388672,0.0
2019-04-11,2207.TW,BUY,63,328.9539489746094,20724.09878540039,0.0
2019-04-11,3019.TW,BUY,2,76.11095428466797,152.22190856933594,0.0
2019-04-11,3443.TW,BUY,105,196.39022827148438,20620.97396850586,0.0
2019-04-11,6415.TW,BUY,1,112.81381225585938,112.81381225585938,0.0
2019-04-11,2327.TW,SELL,350,59.74491500854492,20910.720252990723,0.0
2019-04-12,3665.TW,BUY,124,165.5404052734375,20527.01025390625,0.0
2019-04-12,3711.TW,BUY,407,50.510257720947266,20557.674892425537,0.0
2019-04-12,3443.TW,BUY,2,191.8858642578125,383.771728515625,0.0
2019-04-12,2207.TW,SELL,63,329.7773742675781,20775.974578857422,0.0
2019-04-12,2049.TW,SELL,91,230.4088592529297,20967.2061920166,0.0
2019-04-12,3019.TW,BUY,7,73.4615249633789,514.2306747436523,0.0
2019-04-15,5871.TW,BUY,248,83.65737915039062,20747.030029296875,0.0
2019-04-15,3037.TW,BUY,650,31.949508666992188,20767.180633544922,0.0
2019-04-15,3034.TW,BUY,175,118.37895965576172,20716.3179397583,0.0
2019-04-15,2308.TW,BUY,151,136.9723663330078,20682.82731628418,0.0
2019-04-15,6415.TW,BUY,4,110.43878173828125,441.755126953125,0.0
2019-04-15,3665.TW,SELL,124,165.14151000976562,20477.547241210938,0.0
2019-04-15,3443.TW,SELL,107,195.0388946533203,20869.161727905273,0.0
2019-04-15,3019.TW,SELL,280,75.14752197265625,21041.30615234375,0.0
2019-04-15,3711.TW,SELL,407,51.45234298706055,20941.103595733643,0.0
2019-04-16,2308.TW,SELL,151,136.9723663330078,20682.82731628418,0.0
2019-04-16,3037.TW,SELL,650,32.07868194580078,20851.143264770508,0.0
2019-04-16,6415.TW,SELL,188,116.97010803222656,21990.380310058594,0.0
2019-04-16,2049.TW,BUY,89,233.23350524902344,20757.781967163086,0.0
2019-04-16,3019.TW,BUY,283,74.02351379394531,20948.654403686523,0.0
2019-04-16,3034.TW,BUY,3,117.77499389648438,353.3249816894531,0.0
2019-04-16,3665.TW,BUY,127,164.7426300048828,20922.314010620117,0.0
2019-04-16,5871.TW,BUY,5,82.72093200683594,413.6046600341797,0.0
2019-04-17,3008.TW,BUY,5,3631.892578125,18159.462890625,0.0
2019-04-17,3019.TW,BUY,3,73.22065734863281,219.66197204589844,0.0
2019-04-17,2454.TW,BUY,107,195.31797790527344,20899.023635864258,0.0
2019-04-17,9910.TW,BUY,159,131.23428344726562,20866.251068115234,0.0
2019-04-17,3034.TW,SELL,178,118.07697296142578,21017.70118713379,0.0
2019-04-17,2049.TW,SELL,89,233.63702392578125,20793.69512939453,0.0
2019-04-17,5871.TW,SELL,253,83.3452377319336,21086.3451461792,0.0
2019-04-18,2454.TW,SELL,107,197.010498046875,21080.123291015625,0.0
2019-04-18,3008.TW,SELL,5,3635.81982421875,18179.09912109375,0.0
2019-04-18,3019.TW,SELL,286,74.26437377929688,21239.610900878906,0.0
2019-04-18,9910.TW,SELL,159,132.8919677734375,21129.822875976562,0.0
2019-04-18,2474.TW,BUY,128,164.4884796142578,21054.525390625,0.0
2019-04-18,3037.TW,BUY,661,31.863393783569336,21061.70329093933,0.0
2019-04-18,3665.TW,BUY,2,162.3492889404297,324.6985778808594,0.0
2019-04-18,5871.TW,BUY,258,81.4723129272461,21019.856735229492,0.0
2019-04-18,6415.TW,BUY,179,117.56387329101562,21043.933319091797,0.0
2019-04-19,9910.TW,BUY,163,129.85284423828125,21166.013610839844,0.0
2019-04-19,3231.TW,BUY,1199,17.719295501708984,21245.435306549072,0.0
2019-04-19,3019.TW,BUY,289,73.30094909667969,21183.97428894043,0.0
2019-04-19,2207.TW,BUY,62,339.2466125488281,21033.289978027344,0.0
2019-04-19,4938.TW,BUY,536,39.59432601928711,21222.55874633789,0.0
2019-04-19,5871.TW,SELL,258,82.40877532958984,21261.46403503418,0.0
2019-04-19,3665.TW,SELL,129,161.55149841308594,20840.143295288086,0.0
2019-04-19,3037.TW,SELL,661,32.380096435546875,21403.243743896484,0.0
2019-04-19,6415.TW,SELL,179,119.22638702392578,21341.523277282715,0.0
2019-04-19,2474.TW,SELL,128,165.14120483398438,21138.07421875,0.0
2019-04-22,3665.TW,BUY,133,158.75924682617188,21114.97982788086,0.0
2019-04-22,3231.TW,BUY,10,17.579496383666992,175.79496383666992,0.0
2019-04-22,3037.TW,BUY,656,32.380096435546875,21241.34326171875,0.0
2019-04-22,4938.TW,BUY,12,38.80376434326172,465.6451721191406,0.0
2019-04-22,9910.TW,SELL,163,131.23428344726562,21391.188201904297,0.0
2019-04-22,3019.TW,SELL,289,73.8629379272461,21346.38906097412,0.0
2019-04-22,2207.TW,SELL,62,343.77545166015625,21314.078002929688,0.0
2019-04-22,2474.TW,BUY,130,162.8566436767578,21171.363677978516,0.0
2019-04-23,2474.TW,SELL,130,168.40487670898438,21892.63397216797,0.0
2019-04-23,3231.TW,SELL,1209,17.649394989013672,21338.11854171753,0.0
2019-04-23,4938.TW,SELL,548,38.935516357421875,21336.662963867188,0.0
2019-04-23,2049.TW,BUY,91,233.23350524902344,21224.248977661133,0.0
2019-04-23,3019.TW,BUY,292,72.57837677001953,21192.886016845703,0.0
2019-04-23,3037.TW,BUY,24,31.217510223388672,749.2202453613281,0.0
2019-04-23,3665.TW,BUY,2,157.16366577148438,314.32733154296875,0.0
2019-04-23,9910.TW,BUY,161,131.23428344726562,21128.719635009766,0.0
2019-04-24,2317.TW,BUY,336,64.68296813964844,21733.477294921875,0.0
2019-04-24,3711.TW,BUY,410,52.97416687011719,21719.408416748047,0.0
2019-04-24,6415.TW,BUY,184,117.92012023925781,21697.302124023438,0.0
2019-04-24,2207.TW,BUY,63,344.5988464355469,21709.727325439453,0.0
2019-04-24,2327.TW,BUY,374,58.0197639465332,21699.391716003418,0.0
2019-04-24,3665.TW,SELL,135,159.95591735839844,21594.04884338379,0.0
2019-04-24,3037.TW,SELL,680,32.6815071105957,22223.424835205078,0.0
2019-04-24,3019.TW,SELL,292,72.89952087402344,21286.660095214844,0.0
2019-04-24,2049.TW,SELL,91,238.07568359375,21664.88720703125,0.0
2019-04-24,9910.TW,SELL,161,134.82594299316406,21706.976821899414,0.0
2019-04-25,4938.TW,BUY,560,39.00140380859375,21840.7861328125,0.0
2019-04-25,2454.TW,BUY,112,194.97947692871094,21837.701416015625,0.0
2019-04-25,2382.TW,BUY,542,40.278133392333984,21830.74829864502,0.0
2019-04-25,2317.TW,BUY,2,64.60852813720703,129.21705627441406,0.0
2019-04-25,3037.TW,BUY,668,32.6815071105957,21831.24674987793,0.0
2019-04-25,3711.TW,SELL,410,53.33651351928711,21867.970542907715,0.0
2019-04-25,2327.TW,SELL,374,58.38294982910156,21835.223236083984,0.0
2019-04-25,2207.TW,SELL,63,345.8340148925781,21787.542938232422,0.0
2019-04-25,6415.TW,SELL,184,118.98888397216797,21893.954650878906,0.0
2019-04-26,2317.TW,SELL,338,65.05513000488281,21988.63394165039,0.0
2019-04-26,2382.TW,SELL,542,39.73929214477539,21538.69634246826,0.0
2019-04-26,2454.TW,SELL,112,196.33349609375,21989.3515625,0.0
2019-04-26,4938.TW,SELL,560,38.737884521484375,21693.21533203125,0.0
2019-04-26,3019.TW,BUY,307,70.25008392333984,21566.775764465332,0.0
2019-04-26,3037.TW,BUY,27,31.045276641845703,838.222469329834,0.0
2019-04-26,3443.TW,BUY,102,211.70504760742188,21593.91485595703,0.0
2019-04-26,3661.TW,BUY,278,77.5707778930664,21564.67625427246,0.0
2019-04-26,6415.TW,BUY,183,117.56387329101562,21514.18881225586,0.0
2019-04-29,3711.TW,BUY,401,51.887149810791016,20806.747074127197,0.0
2019-04-29,3443.TW,BUY,1,201.79544067382812,201.79544067382812,0.0
2019-04-29,3037.TW,BUY,49,27.988113403320312,1371.4175567626953,0.0
2019-04-29,3661.TW,SELL,278,76.44519805908203,21251.765060424805,0.0
2019-04-29,6415.TW,SELL,183,117.80137634277344,21557.65187072754,0.0
2019-04-29,3019.TW,SELL,4,68.64437103271484,274.5774841308594,0.0
2019-04-29,2327.TW,BUY,381,54.5694465637207,20790.959140777588,0.0
2019-04-30,3661.TW,BUY,280,76.07000732421875,21299.60205078125,0.0
2019-04-30,2474.TW,BUY,133,159.59298706054688,21225.867279052734,0.0
2019-04-30,2317.TW,BUY,329,64.68296813964844,21280.696517944336,0.0
2019-04-30,3711.TW,SELL,401,51.959617614746094,20835.806663513184,0.0
