date,ticker,ret_short,ret_med,vol_z,rng_z,dist_high,score
2026-05-13,5285.TW,0.31842566970454866,0.42277988482117945,3.5182556412070554,1.7396758747765058,-0.010738295996749136,8.476956981141887
2026-05-13,6446.TW,0.19389312977099227,0.2180685358255452,3.406698892139851,1.8529095510659979,0.0,6.23591632708973
2026-05-13,2377.TW,0.15500000000000003,0.29921257612552243,5.478576277845346,2.2731618177213675,-0.21436261609686202,6.135749857334056
2026-05-13,2049.TW,0.15530903328050716,0.32545454545454544,0.06493855048435886,0.886171936299617,-0.008163265306122436,3.5667366010043047
2026-05-13,3661.TW,0.04709748083242049,0.4937499999999999,0.8494586391247817,1.413134555918027,-0.11069767441860467,3.384642661885253
2026-05-13,3443.TW,0.04540867810292637,0.6983606557377049,-0.4735311637745116,0.9524164938799714,-0.09598603839441533,3.3612285324564377
2026-05-13,3702.TW,0.08173076923076916,0.16580310880829008,-0.5867592891166793,2.3497305693102204,-0.013157894736842146,2.8323235644307525
2026-05-13,5269.TW,0.05970149253731338,0.19327731092436973,3.4081350443541094,1.7880391197086334,-0.2856301529043199,2.443672157747631
2026-05-13,2059.TW,0.18181818181818188,0.509433962264151,-1.567534349012817,-0.9789109625361576,-0.05797101449275366,1.8560071218155048
2026-05-13,2408.TW,0.09929078014184389,0.40909090909090917,-0.9455621940499858,-0.7873550118833121,-0.050535987748851485,1.0489786543173942
2026-05-13,4961.TW,0.10862619808306717,0.13398692810457513,0.5070972621382229,-0.15856971057479852,-0.19843896276745732,-0.00286005444009213
2026-05-13,2344.TW,0.09216589861751157,0.267379679144385,-1.7934000924289208,-0.6047733836376278,-0.08368912182178179,-0.3220021410049666
2026-05-13,2360.TW,0.006396588486140775,0.28260869565217384,-1.338429847500329,-0.4713850410982245,-0.032786885245901676,-0.3923092832245926
2026-05-13,9921.TW,0.08430225530658753,0.08430225530658753,1.1040219853100193,1.6206359363826923,-0.42929766166601224,-0.4028082802373687
2026-05-13,2723.TW,0.007518796992481258,-0.013254808625238201,0.6291512640885379,1.8862938367114168,-0.26973466854877437,-0.5316095769502918
2026-05-13,4938.TW,-0.02033489209654027,0.043312121348775934,-0.7376568246852034,0.41663853192123546,-0.033057798385450754,-0.7782787825153374
2026-05-13,1605.TW,0.07361968215379222,0.0869564959850313,0.14890709287787798,-0.05075877395748742,-0.2099322663030735,-0.8114419480531541
2026-05-13,2337.TW,-0.06686046511627908,0.03215434083601276,-0.22689181494138067,0.522249008647136,-0.06686046511627908,-1.2053943878449407
2026-05-13,8046.TW,-0.06276595744680846,0.3637770897832817,-0.8924649045682778,-1.0586619247566593,-0.12338308457711444,-1.6633054541773764
2026-05-13,1907.TW,0.016771472206811966,-0.07088123963335935,-0.6687336471126736,-0.006259688344436989,-0.12612612612612617,-1.9990844039358677
